#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;01/01/2000
#Version;01.002-02.430-03.730
#Serial No.;100329

#Mode;Unlimited
#Logging Interval[s];0.1
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:01:39
#Stop Time;00:09:00

#Actual Count;4419

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp;Time
237.36;0.852;1.08E+02;49.966;300;20;2.02E+02;1.71E+02;0.535;1.77;05:26.3;227.3
237.4;0.791;1.01E+02;49.965;300;20;1.88E+02;1.59E+02;0.536;1.76;05:26.4;227.4
237.18;2.043;2.65E+02;49.964;300;20;4.85E+02;4.06E+02;0.546;1.84;05:26.5;227.5
237.22;1.881;2.43E+02;49.965;300;20;4.46E+02;3.74E+02;0.544;1.81;05:26.6;227.6
237.26;1.877;2.42E+02;49.964;300;20;4.45E+02;3.74E+02;0.543;1.83;05:26.7;227.7
237.22;1.867;2.41E+02;49.964;300;20;4.43E+02;3.72E+02;0.544;1.83;05:26.8;227.8
237.21;1.87;2.41E+02;49.965;300;20;4.44E+02;3.73E+02;0.543;1.85;05:26.9;227.9
237.27;1.853;2.39E+02;49.965;300;20;4.40E+02;3.69E+02;0.544;1.82;05:27.0;228
237.27;1.857;2.39E+02;49.965;300;20;4.41E+02;3.70E+02;0.543;1.85;05:27.1;228.1
237.2;1.861;2.40E+02;49.965;300;20;4.42E+02;3.70E+02;0.544;1.84;05:27.2;228.2
237.24;1.851;2.39E+02;49.966;300;20;4.39E+02;3.69E+02;0.543;1.87;05:27.3;228.3
237.26;1.706;2.18E+02;49.968;300;20;4.05E+02;3.41E+02;0.539;1.85;05:27.4;228.4
237.41;1.142;1.45E+02;49.968;300;20;2.71E+02;2.29E+02;0.534;1.83;05:27.5;228.5
237.42;0.862;1.10E+02;49.967;300;20;2.05E+02;1.72E+02;0.538;1.79;05:27.6;228.6
237.45;0.765;9.80E+01;49.967;300;20;1.82E+02;1.53E+02;0.539;1.8;05:27.7;228.7
237.49;0.761;9.77E+01;49.967;300;20;1.81E+02;1.52E+02;0.54;1.78;05:27.8;228.8
237.5;0.745;9.54E+01;49.966;300;20;1.77E+02;1.49E+02;0.54;1.8;05:27.9;228.9
237.51;0.765;9.79E+01;49.967;300;20;1.82E+02;1.53E+02;0.539;1.78;05:28.0;229
237.51;0.744;9.54E+01;49.967;300;20;1.77E+02;1.49E+02;0.54;1.77;05:28.1;229.1
237.54;0.753;9.63E+01;49.967;300;20;1.79E+02;1.51E+02;0.538;1.8;05:28.2;229.2
237.44;0.723;9.24E+01;49.966;300;20;1.72E+02;1.45E+02;0.539;1.78;05:28.3;229.3
237.48;0.767;9.81E+01;49.965;300;20;1.82E+02;1.53E+02;0.539;1.8;05:28.4;229.4
237.51;0.743;9.51E+01;49.965;300;20;1.77E+02;1.49E+02;0.539;1.79;05:28.5;229.5
237.54;0.761;9.72E+01;49.966;300;20;1.81E+02;1.52E+02;0.538;1.81;05:28.6;229.6
237.53;0.766;9.78E+01;49.966;300;20;1.82E+02;1.53E+02;0.538;1.77;05:28.7;229.7
237.47;1.167;1.46E+02;49.965;300;20;2.77E+02;2.36E+02;0.526;1.85;05:28.8;229.8
237.31;1.906;2.47E+02;49.965;300;20;4.52E+02;3.79E+02;0.546;1.86;05:28.9;229.9
237.34;1.857;2.40E+02;49.964;300;20;4.41E+02;3.70E+02;0.544;1.85;05:29.0;230
237.3;1.838;2.38E+02;49.965;300;20;4.36E+02;3.66E+02;0.544;1.83;05:29.1;230.1
237.33;1.844;2.38E+02;49.964;300;20;4.38E+02;3.67E+02;0.544;1.87;05:29.2;230.2
237.28;1.844;2.38E+02;49.965;300;20;4.38E+02;3.67E+02;0.544;1.85;05:29.3;230.3
237.27;1.834;2.36E+02;49.964;300;20;4.35E+02;3.66E+02;0.542;1.87;05:29.4;230.4
237.27;1.828;2.35E+02;49.965;300;20;4.34E+02;3.65E+02;0.542;1.82;05:29.5;230.5
237.26;1.837;2.37E+02;49.964;300;20;4.36E+02;3.66E+02;0.543;1.86;05:29.6;230.6
237.24;1.846;2.38E+02;49.964;300;20;4.38E+02;3.68E+02;0.543;1.84;05:29.7;230.7
20;1.571;1.99E+02;49.965;300;20;3.73E+02;3.16E+02;0.533;1.86;05:29.8;230.8
237.47;0.823;1.05E+02;49.964;300;20;1.95E+02;1.65E+02;0.537;1.79;05:29.9;230.9
237.45;0.844;1.06E+02;49.965;300;20;2.00E+02;1.70E+02;0.531;1.8;05:30.0;231
237.27;1.951;2.53E+02;49.965;300;20;4.63E+02;3.88E+02;0.546;1.87;05:30.1;231.1
237.21;1.855;2.40E+02;49.965;300;20;4.40E+02;3.69E+02;0.544;1.85;05:30.2;231.2
237.17;1.84;2.37E+02;49.965;300;20;4.36E+02;3.66E+02;0.544;1.86;05:30.3;231.3
237.24;1.877;2.43E+02;49.964;300;20;4.45E+02;3.73E+02;0.546;1.85;05:30.4;231.4
237.27;1.854;2.39E+02;49.963;300;20;4.40E+02;3.69E+02;0.544;1.88;05:30.5;231.5
237.3;1.861;2.41E+02;49.964;300;20;4.42E+02;3.70E+02;0.545;1.86;05:30.6;231.6
237.31;1.852;2.39E+02;49.964;300;20;4.40E+02;3.69E+02;0.544;1.88;05:30.7;231.7
237.31;1.851;2.39E+02;49.964;300;20;4.39E+02;3.69E+02;0.544;1.84;05:30.8;231.8
237.29;1.852;2.39E+02;49.963;300;20;4.39E+02;3.69E+02;0.543;1.87;05:30.9;231.9
237.32;1.65;2.11E+02;49.962;300;20;3.92E+02;3.30E+02;0.538;1.85;05:31.0;232
237.44;1.003;1.28E+02;49.961;300;20;2.38E+02;2.01E+02;0.536;1.82;05:31.1;232.1
237.45;0.795;1.02E+02;49.96;300;20;1.89E+02;1.59E+02;0.539;1.79;05:31.2;232.2
237.52;0.759;9.72E+01;49.959;300;20;1.80E+02;1.52E+02;0.54;1.82;05:31.3;232.3
237.46;0.746;9.54E+01;49.96;300;20;1.77E+02;1.49E+02;0.539;1.78;05:31.4;232.4
237.46;0.75;9.60E+01;49.958;300;20;1.78E+02;1.50E+02;0.539;1.82;05:31.5;232.5
237.48;0.749;9.59E+01;49.957;300;20;1.78E+02;1.50E+02;0.54;1.8;05:31.6;232.6
237.48;20;9.55E+01;49.957;300;20;1.77E+02;1.49E+02;0.539;1.81;05:31.7;232.7
237.55;0.751;9.62E+01;49.957;300;20;1.79E+02;1.50E+02;0.539;1.78;05:31.8;232.8
237.52;0.752;9.61E+01;49.958;300;20;1.79E+02;1.50E+02;0.538;1.79;05:31.9;232.9
237.51;0.745;9.53E+01;49.958;300;20;1.77E+02;1.49E+02;0.539;1.78;05:32.0;233
237.51;0.752;9.63E+01;49.956;300;20;1.79E+02;1.50E+02;0.539;1.79;05:32.1;233.1
237.54;0.748;9.58E+01;49.957;300;20;1.78E+02;1.50E+02;0.539;1.8;05:32.2;233.2
237.42;0.939;1.17E+02;49.957;300;20;2.23E+02;1.90E+02;0.526;1.79;05:32.3;233.3
237.34;1.819;2.32E+02;49.956;300;20;4.32E+02;3.64E+02;0.538;1.89;05:32.4;233.4
237.29;1.825;2.36E+02;49.958;300;20;4.33E+02;3.64E+02;0.544;1.86;05:32.5;233.5
237.36;1.841;2.38E+02;49.957;300;20;4.37E+02;3.66E+02;0.545;1.87;05:32.6;233.6
237.3;1.833;2.36E+02;49.956;300;20;4.35E+02;3.65E+02;0.543;1.85;05:32.7;233.7
237.33;1.836;2.37E+02;49.955;300;20;4.36E+02;3.66E+02;0.544;1.88;05:32.8;233.8
237.31;1.827;2.36E+02;49.954;300;20;4.34E+02;3.64E+02;0.545;1.86;05:32.9;233.9
237.31;1.825;2.36E+02;49.953;300;20;4.33E+02;3.63E+02;0.545;1.89;05:33.0;234
237.25;1.813;2.34E+02;49.954;300;20;4.30E+02;3.61E+02;0.544;1.85;05:33.1;234.1
237.27;1.825;2.36E+02;49.953;300;20;4.33E+02;3.63E+02;0.545;1.89;05:33.2;234.2
237.25;1.777;2.29E+02;49.952;300;20;4.22E+02;3.54E+02;0.543;1.84;05:33.3;234.3
237.42;0.925;1.17E+02;49.951;300;20;2.20E+02;1.86E+02;0.531;1.81;05:33.4;234.4
237.39;0.756;9.65E+01;49.951;300;20;1.79E+02;1.51E+02;0.538;1.78;05:33.5;234.5
237.22;1.84;2.38E+02;49.951;300;20;4.37E+02;3.66E+02;0.544;1.88;05:33.7;234.7
237.23;1.853;2.39E+02;49.95;300;20;4.40E+02;3.69E+02;0.544;1.88;05:33.8;234.8
237.26;1.849;2.39E+02;49.95;300;20;4.39E+02;3.68E+02;0.545;1.89;05:33.9;234.9
237.24;1.836;2.37E+02;49.95;300;20;4.36E+02;3.65E+02;0.544;1.87;05:34.0;235
237.25;1.832;2.37E+02;49.947;300;20;4.35E+02;3.64E+02;0.545;1.88;05:34.1;235.1
237.24;1.834;2.37E+02;49.947;300;20;4.35E+02;3.65E+02;0.544;1.86;05:34.2;235.2
237.18;1.823;2.35E+02;49.947;300;20;4.33E+02;3.63E+02;0.544;1.9;05:34.3;235.3
237.22;1.832;2.37E+02;49.948;300;20;4.35E+02;3.64E+02;0.545;1.88;05:34.4;235.4
237.25;1.756;2.26E+02;49.947;300;20;4.17E+02;3.50E+02;0.543;1.9;05:34.5;235.5
237.37;1.038;1.32E+02;49.947;300;20;2.47E+02;2.08E+02;0.535;1.82;05:34.6;235.6
237.43;0.798;1.02E+02;49.945;300;20;1.89E+02;1.60E+02;0.54;1.83;05:34.7;235.7
237.41;0.772;9.88E+01;49.945;300;20;1.83E+02;1.54E+02;0.539;1.76;05:34.8;235.8
237.41;0.753;9.63E+01;49.943;300;20;1.79E+02;1.51E+02;0.539;1.79;05:34.9;235.9
237.4;0.75;9.61E+01;49.943;300;20;1.78E+02;1.50E+02;0.539;1.77;05:35.0;236
237.41;0.747;9.56E+01;49.944;300;20;1.77E+02;1.49E+02;0.539;1.8;05:35.1;236.1
237.36;0.748;9.58E+01;49.943;300;20;1.78E+02;1.49E+02;0.54;1.78;05:35.2;236.2
237.38;0.747;9.55E+01;49.942;300;20;1.77E+02;1.50E+02;0.538;1.81;05:35.3;236.3
237.37;0.75;9.60E+01;49.939;300;20;1.78E+02;1.50E+02;0.539;1.78;05:35.4;236.4
237.37;0.742;9.48E+01;20;300;20;1.76E+02;1.48E+02;0.538;1.83;05:35.5;236.5
237.34;0.748;9.56E+01;49.936;300;20;1.78E+02;1.50E+02;0.539;1.8;05:35.6;236.6
237.35;0.75;9.60E+01;49.938;300;20;1.78E+02;1.50E+02;0.539;1.82;05:35.7;236.7
237.32;1.042;1.29E+02;49.935;300;20;2.47E+02;2.11E+02;0.523;1.81;05:35.8;236.8
237.12;1.951;2.52E+02;49.935;300;20;4.63E+02;3.88E+02;0.544;1.91;05:35.9;236.9
237.12;1.876;2.43E+02;49.935;300;20;4.45E+02;3.73E+02;0.546;1.86;05:36.0;237
237.14;1.83;2.37E+02;49.933;300;20;4.34E+02;3.64E+02;0.545;1.87;05:36.1;237.1
237.15;1.827;2.36E+02;49.934;300;20;4.33E+02;3.64E+02;0.544;1.9;05:36.2;237.2
237.05;1.806;2.33E+02;49.935;300;20;4.28E+02;3.59E+02;0.544;1.9;05:36.3;237.3
237.16;1.825;2.36E+02;49.935;300;20;4.33E+02;3.63E+02;0.545;1.88;05:36.4;237.4
237.12;1.813;2.34E+02;49.937;300;20;4.30E+02;3.61E+02;0.544;1.84;05:36.5;237.5
237.17;1.826;2.35E+02;49.938;300;20;4.33E+02;3.64E+02;0.543;1.88;05:36.6;237.6
237.12;1.816;2.34E+02;49.936;300;20;4.31E+02;3.62E+02;0.543;1.85;05:36.7;237.7
237.15;1.807;2.33E+02;49.937;300;20;4.29E+02;3.60E+02;0.543;1.87;05:36.8;237.8
237.16;1.722;2.20E+02;49.937;300;20;4.08E+02;3.44E+02;0.539;1.82;05:36.9;237.9
237.29;0.869;1.09E+02;49.937;300;20;2.06E+02;1.75E+02;0.527;1.79;05:37.0;238
237.08;2.006;2.58E+02;49.938;300;20;4.76E+02;4.00E+02;0.542;1.84;05:37.1;238.1
237.19;1.877;2.43E+02;49.938;300;20;4.45E+02;3.73E+02;0.545;1.87;05:37.2;238.2
237.15;1.834;2.36E+02;49.938;300;20;4.35E+02;3.65E+02;0.543;1.84;05:37.3;238.3
237.17;1.826;2.35E+02;49.938;300;20;4.33E+02;3.64E+02;0.543;1.88;05:37.4;238.4
237.15;1.838;2.37E+02;49.937;300;20;4.36E+02;3.66E+02;0.543;1.86;05:37.5;238.5
237.18;1.836;2.37E+02;49.936;300;20;4.35E+02;3.66E+02;0.543;1.89;05:37.6;238.6
237.19;1.835;2.36E+02;49.937;300;20;4.35E+02;3.66E+02;0.543;1.84;05:37.7;238.7
237.16;1.817;2.34E+02;49.937;300;20;4.31E+02;3.62E+02;0.543;1.87;05:37.8;238.8
237.18;1.836;2.37E+02;49.937;300;20;4.36E+02;3.66E+02;0.544;1.83;05:37.9;238.9
237.2;1.843;2.37E+02;49.938;300;20;4.37E+02;3.67E+02;0.542;1.85;05:38.0;239
237.22;1.658;2.11E+02;49.938;300;20;3.93E+02;3.32E+02;0.537;1.79;05:38.1;239.1
237.37;0.781;9.98E+01;49.938;300;20;1.86E+02;1.56E+02;0.538;1.77;05:38.2;239.2
237.39;0.761;9.73E+01;49.938;300;20;1.81E+02;1.52E+02;0.539;1.78;05:38.3;239.3
237.4;0.759;9.71E+01;49.937;300;20;1.80E+02;1.52E+02;0.539;1.77;05:38.4;239.4
237.39;0.751;9.61E+01;49.938;300;20;1.78E+02;1.50E+02;0.539;1.78;05:38.5;239.5
237.37;0.756;9.69E+01;49.94;300;20;1.80E+02;1.51E+02;0.539;1.78;05:38.6;239.6
237.42;0.748;9.58E+01;49.941;300;20;1.78E+02;1.49E+02;0.54;1.79;05:38.7;239.7
237.38;0.744;9.51E+01;49.942;300;20;1.77E+02;1.49E+02;0.538;1.77;05:38.8;239.8
237.42;0.759;9.72E+01;49.942;300;20;1.80E+02;1.52E+02;0.539;1.78;05:38.9;239.9
237.39;0.753;9.62E+01;49.942;300;20;1.79E+02;1.51E+02;0.538;1.76;05:39.0;240
237.38;0.746;9.53E+01;49.941;300;20;1.77E+02;1.49E+02;0.538;1.79;05:39.1;240.1
237.34;0.748;9.56E+01;49.942;300;20;1.78E+02;1.50E+02;0.538;1.77;05:39.2;240.2
237.4;0.783;9.98E+01;49.941;300;20;1.86E+02;1.57E+02;0.537;1.8;05:39.3;240.3
237.17;2.023;2.61E+02;49.943;300;20;4.80E+02;4.02E+02;0.544;1.86;05:39.4;240.4
237.15;1.822;2.34E+02;49.943;300;20;4.32E+02;3.63E+02;0.542;1.88;05:39.5;240.5
237.16;1.806;2.32E+02;49.944;300;20;4.28E+02;3.60E+02;0.542;1.84;05:39.6;240.6
237.24;1.813;2.33E+02;49.943;300;20;4.30E+02;3.61E+02;0.542;1.88;05:39.7;240.7
237.22;1.793;2.31E+02;49.943;300;20;4.25E+02;3.57E+02;0.542;1.84;05:39.8;240.8
237.17;1.809;2.33E+02;49.943;300;20;4.29E+02;3.60E+02;0.543;1.86;05:39.9;240.9
237.22;1.808;2.33E+02;49.945;300;20;4.29E+02;3.60E+02;0.543;1.84;05:40.0;241
237.23;1.803;2.32E+02;49.946;300;20;4.28E+02;3.59E+02;0.543;1.86;05:40.1;241.1
237.25;1.8;2.32E+02;49.947;300;20;4.27E+02;3.59E+02;0.543;1.85;05:40.2;241.2
237.17;1.807;2.32E+02;49.949;300;20;4.29E+02;3.60E+02;0.542;1.85;05:40.3;241.3
237.33;1.347;1.65E+02;49.949;300;20;3.20E+02;2.74E+02;0.516;1.82;05:40.4;241.4
237.44;0.724;9.24E+01;49.95;300;20;1.72E+02;1.45E+02;0.537;1.79;05:40.5;241.5
237.21;1.979;2.56E+02;49.951;300;20;4.70E+02;3.93E+02;0.546;1.88;05:40.6;241.6
237.23;1.826;2.35E+02;49.952;300;20;4.33E+02;3.64E+02;0.542;1.85;05:40.7;241.7
237.25;1.832;2.35E+02;49.954;300;20;4.35E+02;3.65E+02;0.542;1.85;05:40.8;241.8
237.2;1.815;2.33E+02;49.955;300;20;4.30E+02;3.62E+02;0.541;1.82;05:40.9;241.9
237.21;1.823;2.35E+02;49.956;300;20;4.32E+02;3.63E+02;0.542;1.88;05:41.0;242
237.2;1.813;2.34E+02;49.956;300;20;4.30E+02;3.61E+02;0.543;1.84;05:41.1;242.1
237.23;1.826;2.35E+02;49.956;300;20;4.33E+02;3.64E+02;0.542;1.88;05:41.2;242.2
237.2;1.816;2.34E+02;49.956;300;20;4.31E+02;3.62E+02;0.542;1.85;05:41.3;242.3
237.25;1.813;2.33E+02;49.957;300;20;4.30E+02;3.62E+02;0.542;1.87;05:41.4;242.4
237.19;1.797;2.31E+02;49.957;300;20;4.26E+02;3.58E+02;0.542;1.83;05:41.5;242.5
237.32;1.208;1.49E+02;49.956;300;20;2.87E+02;2.45E+02;0.52;1.81;05:41.6;242.6
237.41;0.765;9.78E+01;49.957;300;20;1.82E+02;1.53E+02;0.538;1.78;05:41.7;242.7
237.34;0.756;9.66E+01;49.954;300;20;1.80E+02;1.51E+02;0.538;1.8;05:41.8;242.8
237.41;0.758;9.71E+01;49.953;300;20;1.80E+02;1.52E+02;0.54;1.79;05:41.9;242.9
237.41;0.743;9.50E+01;49.951;300;20;1.76E+02;1.49E+02;0.539;1.79;05:42.0;243
237.39;0.753;9.64E+01;49.952;300;20;1.79E+02;1.51E+02;0.539;1.77;05:42.1;243.1
237.39;0.744;9.52E+01;49.952;300;20;1.77E+02;1.49E+02;0.539;1.77;05:42.2;243.2
237.38;0.751;9.61E+01;49.952;300;20;1.78E+02;1.50E+02;0.539;1.79;05:42.3;243.3
237.4;0.741;9.49E+01;49.953;300;20;1.76E+02;1.48E+02;0.539;1.79;05:42.4;243.4
237.44;0.754;9.65E+01;49.952;300;20;1.79E+02;1.51E+02;0.539;1.82;05:42.5;243.5
237.44;0.746;9.56E+01;49.953;300;20;1.77E+02;1.49E+02;0.539;1.78;05:42.6;243.6
237.49;0.761;9.73E+01;49.953;300;20;1.81E+02;1.52E+02;0.539;1.79;05:42.7;243.7
237.35;1.204;1.46E+02;49.955;300;20;2.86E+02;2.46E+02;0.511;1.79;05:42.8;243.8
237.22;2.05;2.66E+02;49.956;300;20;4.86E+02;4.07E+02;0.546;1.87;05:42.9;243.9
237.28;1.794;2.31E+02;49.958;300;20;4.26E+02;3.58E+02;0.543;1.84;05:43.0;244
237.31;1.79;2.30E+02;49.957;300;20;4.25E+02;3.57E+02;0.542;1.86;05:43.1;244.1
237.27;1.798;2.32E+02;49.957;300;20;4.27E+02;3.58E+02;0.543;1.84;05:43.2;244.2
237.3;1.79;2.30E+02;49.955;300;20;4.25E+02;3.57E+02;0.542;1.87;05:43.3;244.3
237.29;1.805;2.33E+02;49.955;300;20;4.28E+02;3.60E+02;0.544;1.85;05:43.4;244.4
237.26;1.785;2.30E+02;49.956;300;20;4.23E+02;3.56E+02;0.542;1.87;05:43.5;244.5
237.27;1.803;2.32E+02;49.956;300;20;4.28E+02;3.59E+02;0.543;1.85;05:43.6;244.6
237.33;1.803;2.32E+02;49.956;300;20;4.28E+02;3.59E+02;0.543;1.88;05:43.7;244.7
237.35;1.636;2.07E+02;49.955;300;20;3.88E+02;3.28E+02;0.534;1.86;05:43.8;244.8
237.48;0.705;9.04E+01;49.954;300;20;1.67E+02;1.41E+02;0.54;1.8;05:43.9;244.9
237.38;1.323;1.57E+02;49.955;300;20;3.14E+02;2.72E+02;0.501;1.83;05:44.0;245
237.25;2.026;2.63E+02;49.955;300;20;4.81E+02;4.02E+02;0.547;1.85;05:44.1;245.1
237.27;1.816;2.34E+02;49.956;300;20;4.31E+02;3.62E+02;0.544;1.87;05:44.2;245.2
237.19;1.817;2.34E+02;49.957;300;20;4.31E+02;3.62E+02;0.544;1.84;05:44.3;245.3
237.29;1.817;2.35E+02;49.958;300;20;4.31E+02;3.62E+02;0.544;1.87;05:44.4;245.4
237.25;1.808;2.33E+02;49.958;300;20;4.29E+02;3.60E+02;0.544;1.83;05:44.5;245.5
237.28;1.801;2.32E+02;49.958;300;20;4.27E+02;3.59E+02;0.544;1.87;05:44.6;245.6
237.24;1.809;2.34E+02;49.958;300;20;4.29E+02;3.60E+02;0.545;1.84;05:44.7;245.7
237.29;1.799;2.32E+02;49.958;300;20;4.27E+02;3.58E+02;0.544;1.87;05:44.8;245.8
237.21;1.798;2.32E+02;49.959;300;20;4.27E+02;3.58E+02;0.543;1.85;05:44.9;245.9
237.32;1.444;1.81E+02;49.957;300;20;3.43E+02;2.91E+02;0.527;1.87;05:45.0;246
237.44;0.762;9.77E+01;49.958;300;20;1.81E+02;1.52E+02;0.54;1.78;05:45.1;246.1
237.44;0.768;9.82E+01;49.957;300;20;1.82E+02;1.54E+02;0.539;1.81;05:45.2;246.2
237.41;0.76;9.72E+01;49.956;300;20;1.80E+02;1.52E+02;0.539;1.8;05:45.3;246.3
237.41;0.744;9.53E+01;49.954;300;20;1.77E+02;1.49E+02;0.54;1.81;05:45.4;246.4
237.43;0.75;9.61E+01;49.954;300;20;1.78E+02;1.50E+02;0.539;1.79;05:45.5;246.5
237.43;0.745;9.55E+01;49.952;300;20;1.77E+02;1.49E+02;0.54;1.84;05:45.6;246.6
237.39;0.739;9.48E+01;49.952;300;20;1.75E+02;1.48E+02;0.54;1.8;05:45.7;246.7
237.35;0.748;9.59E+01;49.952;300;20;1.78E+02;1.49E+02;0.54;1.81;05:45.8;246.8
237.37;0.745;9.55E+01;49.952;300;20;1.77E+02;1.49E+02;0.54;1.79;05:45.9;246.9
237.39;0.755;9.67E+01;49.954;300;20;1.79E+02;1.51E+02;0.54;1.8;05:46.0;247
237.38;0.745;9.55E+01;49.953;300;20;1.77E+02;1.49E+02;0.54;1.79;05:46.1;247.1
237.33;0.756;9.69E+01;49.954;300;20;1.79E+02;1.51E+02;0.54;1.78;05:46.2;247.2
237.33;0.77;9.85E+01;49.954;300;20;1.83E+02;1.54E+02;0.539;1.79;05:46.3;247.3
237.34;0.834;1.06E+02;49.954;300;20;1.98E+02;1.67E+02;0.538;1.8;05:46.4;247.4
237.39;0.914;1.17E+02;49.954;300;20;2.17E+02;1.83E+02;0.538;1.83;05:46.5;247.5
237.36;1.086;1.38E+02;49.954;300;20;2.58E+02;2.18E+02;0.535;1.8;05:46.6;247.6
237.41;1.173;1.49E+02;49.954;300;20;2.79E+02;2.35E+02;0.536;1.84;05:46.7;247.7
237.31;1.275;1.62E+02;49.953;300;20;3.03E+02;2.55E+02;0.536;1.82;05:46.8;247.8
237.3;1.387;1.77E+02;49.952;300;20;3.29E+02;2.77E+02;0.538;1.84;05:46.9;247.9
237.25;1.609;2.07E+02;49.95;300;20;3.82E+02;3.21E+02;0.541;1.82;05:47.0;248
237.23;1.735;2.23E+02;49.948;300;20;4.12E+02;3.46E+02;0.543;1.87;05:47.1;248.1
237.19;1.839;2.37E+02;49.949;300;20;4.36E+02;3.66E+02;0.544;1.85;05:47.2;248.2
237.25;1.924;2.49E+02;49.946;300;20;4.56E+02;3.82E+02;0.546;1.9;05:47.3;248.3
237.25;1.902;2.46E+02;49.946;300;20;4.51E+02;3.78E+02;0.546;1.85;05:47.4;248.4
237.26;1.725;2.22E+02;49.946;300;20;4.09E+02;3.44E+02;0.543;1.88;05:47.5;248.5
237.26;1.528;1.96E+02;49.945;300;20;3.63E+02;3.05E+02;0.54;1.83;05:47.6;248.6
237.33;1.365;1.74E+02;49.944;300;20;3.24E+02;2.73E+02;0.538;1.86;05:47.7;248.7
237.37;1.087;1.39E+02;49.945;300;20;2.58E+02;2.18E+02;0.537;1.81;05:47.8;248.8
237.38;0.982;1.25E+02;49.944;300;20;2.33E+02;1.97E+02;0.537;1.82;05:47.9;248.9
237.4;0.881;1.13E+02;49.945;300;20;2.09E+02;1.76E+02;0.539;1.79;05:48.0;249
237.44;0.812;1.04E+02;49.945;300;20;1.93E+02;1.63E+02;0.539;1.79;05:48.1;249.1
237.48;0.772;9.89E+01;49.944;300;20;1.83E+02;1.54E+02;0.54;1.79;05:48.2;249.2
237.34;0.84;1.07E+02;49.945;300;20;1.99E+02;1.68E+02;0.536;1.76;05:48.3;249.3
237.41;0.997;1.27E+02;49.945;300;20;2.37E+02;2.00E+02;0.536;1.8;05:48.4;249.4
237.35;1.12;1.42E+02;49.945;300;20;2.66E+02;2.25E+02;0.535;1.8;05:48.5;249.5
237.28;1.522;1.95E+02;49.945;300;20;3.61E+02;3.04E+02;0.539;1.84;05:48.6;249.6
237.22;1.711;2.20E+02;49.946;300;20;4.06E+02;3.41E+02;0.542;1.83;05:48.7;249.7
237.21;1.921;2.49E+02;49.945;300;20;4.56E+02;3.82E+02;0.546;1.88;05:48.8;249.8
237.16;2.002;2.60E+02;49.946;300;20;4.75E+02;3.97E+02;0.547;1.86;05:48.9;249.9
237.15;1.887;2.44E+02;49.945;300;20;4.47E+02;3.75E+02;0.545;1.87;05:49.0;250
237.21;1.777;2.29E+02;49.946;300;20;4.21E+02;3.54E+02;0.544;1.86;05:49.1;250.1
237.24;1.652;2.12E+02;49.946;300;20;3.92E+02;3.30E+02;0.541;1.85;05:49.2;250.2
237.26;1.547;1.98E+02;49.947;300;20;3.67E+02;3.09E+02;0.54;1.81;05:49.3;250.3
237.33;1.331;1.70E+02;49.946;300;20;3.16E+02;2.66E+02;0.537;1.83;05:49.4;250.4
237.36;1.245;1.59E+02;49.945;300;20;2.96E+02;2.49E+02;0.538;1.8;05:49.5;250.5
237.37;1.145;1.46E+02;49.944;300;20;2.72E+02;2.29E+02;0.537;1.82;05:49.6;250.6
237.35;1.066;1.36E+02;49.943;300;20;2.53E+02;2.13E+02;0.537;1.79;05:49.7;250.7
237.35;0.919;1.17E+02;49.944;300;20;2.18E+02;1.84E+02;0.537;1.8;05:49.8;250.8
237.39;0.867;1.11E+02;49.944;300;20;2.06E+02;1.74E+02;0.538;1.79;05:49.9;250.9
237.4;0.807;1.03E+02;49.944;300;20;1.92E+02;1.62E+02;0.539;1.79;05:50.0;251
237.42;0.796;1.02E+02;49.944;300;20;1.89E+02;1.59E+02;0.539;1.78;05:50.1;251.1
237.36;0.764;9.77E+01;49.944;300;20;1.81E+02;1.53E+02;0.538;1.75;05:50.2;251.2
237.35;0.767;9.79E+01;49.943;300;20;1.82E+02;1.54E+02;0.538;1.78;05:50.3;251.3
237.35;0.747;9.54E+01;49.943;300;20;1.77E+02;1.49E+02;0.538;1.76;05:50.4;251.4
237.36;0.76;9.71E+01;49.943;300;20;1.80E+02;1.52E+02;0.539;1.78;05:50.5;251.5
237.37;0.76;9.73E+01;49.945;300;20;1.80E+02;1.52E+02;0.539;1.77;05:50.6;251.6
237.43;0.756;9.67E+01;49.946;300;20;1.80E+02;1.51E+02;0.539;1.78;05:50.7;251.7
237.37;0.754;9.64E+01;49.946;300;20;1.79E+02;1.51E+02;0.539;1.75;05:50.8;251.8
237.41;0.754;9.65E+01;49.944;300;20;1.79E+02;1.51E+02;0.539;1.8;05:50.9;251.9
237.39;0.755;9.68E+01;49.944;300;20;1.79E+02;1.51E+02;0.54;1.78;05:51.0;252
237.38;0.753;9.63E+01;49.944;300;20;1.79E+02;1.51E+02;0.539;1.8;05:51.1;252.1
237.33;0.756;9.69E+01;49.944;300;20;1.80E+02;1.51E+02;0.539;1.78;05:51.2;252.2
237.36;0.804;1.03E+02;49.944;300;20;1.91E+02;1.61E+02;0.539;1.8;05:51.3;252.3
237.28;1.17;1.49E+02;49.945;300;20;2.78E+02;2.35E+02;0.535;1.8;05:51.4;252.4
