#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329

#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:37:39
#Stop Time;00:45:15

#Actual Count;4562        

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.66;0.945;0.1207E+03;50.024;300;20;0.2246E+03;0.1894E+03;0.537;1.74;00:37:47.100
237.63;0.934;0.1192E+03;50.023;300;20;0.2220E+03;0.1873E+03;0.537;1.78;00:37:47.200
237.65;0.941;0.1204E+03;50.023;300;20;0.2237E+03;0.1885E+03;0.538;1.76;00:37:47.300
237.72;0.950;0.1212E+03;50.021;300;20;0.2258E+03;0.1905E+03;0.537;1.76;00:37:47.400
237.75;0.937;0.1196E+03;50.022;300;20;0.2227E+03;0.1878E+03;0.537;1.77;00:37:47.500
237.73;0.956;0.1220E+03;50.021;300;20;0.2273E+03;0.1918E+03;0.537;1.76;00:37:47.600
237.70;0.930;0.1187E+03;50.021;300;20;0.2210E+03;0.1864E+03;0.537;1.80;00:37:47.700
237.75;0.955;0.1223E+03;50.021;300;20;0.2271E+03;0.1914E+03;0.539;1.76;00:37:47.800
237.73;0.915;0.1171E+03;50.021;300;20;0.2175E+03;0.1833E+03;0.538;1.76;00:37:47.900
237.71;0.892;0.1144E+03;50.020;300;20;0.2121E+03;0.1786E+03;0.539;1.76;00:37:48.000
237.73;0.859;0.1103E+03;50.020;300;20;0.2042E+03;0.1718E+03;0.540;1.74;00:37:48.100
237.74;0.789;0.1014E+03;50.020;300;20;0.1876E+03;0.1579E+03;0.540;1.78;00:37:48.200
237.75;0.773;0.0993E+03;50.020;300;20;0.1837E+03;0.1545E+03;0.541;1.74;00:37:48.300
237.71;0.774;0.0992E+03;50.020;300;20;0.1840E+03;0.1550E+03;0.539;1.81;00:37:48.400
237.75;0.854;0.1093E+03;50.020;300;20;0.2031E+03;0.1711E+03;0.539;1.72;00:37:48.500
237.69;0.926;0.1179E+03;50.021;300;20;0.2201E+03;0.1858E+03;0.536;1.78;00:37:48.600
237.72;0.958;0.1222E+03;50.021;300;20;0.2277E+03;0.1922E+03;0.537;1.77;00:37:48.700
237.73;0.937;0.1196E+03;50.022;300;20;0.2229E+03;0.1880E+03;0.537;1.76;00:37:48.800
237.72;0.953;0.1216E+03;50.022;300;20;0.2266E+03;0.1912E+03;0.537;1.78;00:37:48.900
237.69;0.941;0.1200E+03;50.023;300;20;0.2237E+03;0.1888E+03;0.536;1.75;00:37:49.000
237.68;0.959;0.1223E+03;50.023;300;20;0.2280E+03;0.1924E+03;0.536;1.82;00:37:49.100
237.72;0.960;0.1226E+03;50.022;300;20;0.2283E+03;0.1926E+03;0.537;1.77;00:37:49.200
237.70;0.943;0.1202E+03;50.022;300;20;0.2240E+03;0.1891E+03;0.536;1.78;00:37:49.300
237.72;0.956;0.1221E+03;50.023;300;20;0.2272E+03;0.1916E+03;0.537;1.77;00:37:49.400
237.72;0.951;0.1214E+03;50.023;300;20;0.2261E+03;0.1908E+03;0.537;1.75;00:37:49.500
237.72;0.949;0.1214E+03;50.022;300;20;0.2255E+03;0.1900E+03;0.538;1.78;00:37:49.600
237.74;0.939;0.1204E+03;50.023;300;20;0.2233E+03;0.1881E+03;0.539;1.76;00:37:49.700
237.79;0.948;0.1216E+03;50.023;300;20;0.2253E+03;0.1897E+03;0.540;1.78;00:37:49.800
237.78;0.945;0.1211E+03;50.023;300;20;0.2248E+03;0.1894E+03;0.539;1.76;00:37:49.900
237.76;0.940;0.1204E+03;50.024;300;20;0.2236E+03;0.1884E+03;0.538;1.75;00:37:50.000
237.73;0.934;0.1196E+03;50.023;300;20;0.2221E+03;0.1871E+03;0.539;1.78;00:37:50.100
237.73;0.951;0.1217E+03;50.024;300;20;0.2262E+03;0.1907E+03;0.538;1.75;00:37:50.200
237.72;0.939;0.1201E+03;50.024;300;20;0.2231E+03;0.1881E+03;0.538;1.79;00:37:50.300
237.70;0.960;0.1227E+03;50.023;300;20;0.2283E+03;0.1925E+03;0.537;1.74;00:37:50.400
237.72;0.948;0.1210E+03;50.023;300;20;0.2253E+03;0.1900E+03;0.537;1.75;00:37:50.500
237.72;0.972;0.1239E+03;50.021;300;20;0.2311E+03;0.1951E+03;0.536;1.72;00:37:50.600
237.72;0.939;0.1195E+03;50.020;300;20;0.2233E+03;0.1886E+03;0.535;1.69;00:37:50.700
237.71;0.961;0.1222E+03;50.019;300;20;0.2285E+03;0.1931E+03;0.535;1.73;00:37:50.800
237.76;0.966;0.1229E+03;50.019;300;20;0.2297E+03;0.1941E+03;0.535;1.69;00:37:50.900
237.73;0.966;0.1229E+03;50.018;300;20;0.2296E+03;0.1939E+03;0.535;1.77;00:37:51.000
237.74;0.962;0.1224E+03;50.019;300;20;0.2286E+03;0.1931E+03;0.535;1.70;00:37:51.100
20;0.925;0.1176E+03;50.019;300;20;0.2199E+03;0.1858E+03;0.535;1.76;00:37:51.200
237.72;0.963;0.1227E+03;50.019;300;20;0.2290E+03;0.1933E+03;0.536;1.73;00:37:51.300
237.75;0.938;0.1194E+03;50.020;300;20;0.2231E+03;0.1884E+03;0.535;1.69;00:37:51.400
237.77;0.961;0.1225E+03;50.020;300;20;0.2285E+03;0.1929E+03;0.536;1.73;00:37:51.500
237.78;0.954;0.1216E+03;50.022;300;20;0.2268E+03;0.1914E+03;0.536;1.70;00:37:51.600
237.74;0.942;0.1199E+03;50.022;300;20;0.2239E+03;0.1891E+03;0.536;1.75;00:37:51.700
237.79;0.948;0.1213E+03;50.022;300;20;0.2255E+03;0.1901E+03;0.538;1.72;00:37:51.800
237.76;0.948;0.1208E+03;50.022;300;20;0.2255E+03;0.1904E+03;0.536;1.74;00:37:51.900
237.76;0.964;0.1231E+03;50.021;300;20;0.2292E+03;0.1934E+03;0.537;1.71;00:37:52.000
237.73;0.948;0.1209E+03;50.021;300;20;0.2255E+03;0.1903E+03;0.536;1.68;00:37:52.100
237.67;0.948;0.1206E+03;50.021;300;20;0.2252E+03;0.1902E+03;0.535;1.74;00:37:52.200
237.68;0.962;0.1225E+03;50.021;300;20;0.2288E+03;0.1932E+03;0.536;1.72;00:37:52.300
237.62;0.958;0.1216E+03;50.021;300;20;0.2276E+03;0.1924E+03;0.534;1.76;00:37:52.400
237.68;0.962;0.1225E+03;50.020;300;20;0.2287E+03;0.1931E+03;0.536;1.72;00:37:52.500
237.67;0.902;0.1148E+03;50.020;300;20;0.2144E+03;0.1811E+03;0.535;1.72;00:37:52.600
237.67;0.873;0.1113E+03;50.021;300;20;0.2074E+03;0.1750E+03;0.536;1.73;00:37:52.700
237.67;0.861;0.1099E+03;50.022;300;20;0.2047E+03;0.1727E+03;0.537;1.74;00:37:52.800
237.68;0.813;0.1038E+03;50.021;300;20;0.1933E+03;0.1630E+03;0.537;1.77;00:37:52.900
237.65;0.799;0.1023E+03;50.021;300;20;0.1900E+03;0.1601E+03;0.539;1.71;00:37:53.000
237.65;0.761;0.0973E+03;50.021;300;20;0.1808E+03;0.1525E+03;0.538;1.72;00:37:53.100
237.63;0.780;0.0997E+03;50.021;300;20;0.1853E+03;0.1562E+03;0.538;1.73;00:37:53.200
237.67;0.773;0.0988E+03;50.022;300;20;0.1836E+03;0.1548E+03;0.538;1.72;00:37:53.300
237.69;0.772;0.0987E+03;50.022;300;20;0.1834E+03;0.1545E+03;0.538;1.74;00:37:53.400
237.70;0.759;0.0973E+03;50.021;300;20;0.1805E+03;0.1520E+03;0.539;1.71;00:37:53.500
237.66;0.748;0.0958E+03;50.022;300;20;0.1777E+03;0.1497E+03;0.539;1.76;00:37:53.600
237.68;0.766;0.0983E+03;50.020;300;20;0.1822E+03;0.1534E+03;0.539;1.72;00:37:53.700
237.70;0.757;0.0971E+03;50.021;300;20;0.1800E+03;0.1515E+03;0.540;1.79;00:37:53.800
237.72;0.769;0.0988E+03;50.021;300;20;0.1829E+03;0.1539E+03;0.540;1.75;00:37:53.900
237.71;0.747;0.0958E+03;50.021;300;20;0.1776E+03;0.1495E+03;0.540;1.72;00:37:54.000
237.68;0.757;0.0969E+03;50.020;300;20;0.1799E+03;0.1516E+03;0.539;1.75;00:37:54.100
237.71;0.787;0.1007E+03;50.019;300;20;0.1872E+03;0.1578E+03;0.538;1.73;00:37:54.200
237.67;0.867;0.1106E+03;50.017;300;20;0.2061E+03;0.1739E+03;0.536;1.81;00:37:54.300
237.61;0.921;0.1172E+03;50.017;300;20;0.2189E+03;0.1848E+03;0.536;1.77;00:37:54.400
237.65;0.940;0.1197E+03;50.018;300;20;0.2233E+03;0.1886E+03;0.536;1.81;00:37:54.500
237.66;0.940;0.1199E+03;50.017;300;20;0.2234E+03;0.1885E+03;0.537;1.77;00:37:54.600
237.65;0.937;0.1195E+03;50.018;300;20;0.2227E+03;0.1879E+03;0.537;1.74;00:37:54.700
237.66;0.946;0.1208E+03;50.018;300;20;0.2249E+03;0.1897E+03;0.537;1.82;00:37:54.800
237.70;0.942;0.1203E+03;50.017;300;20;0.2239E+03;0.1889E+03;0.537;1.76;00:37:54.900
237.69;0.942;0.1201E+03;50.016;300;20;0.2239E+03;0.1890E+03;0.536;1.76;00:37:55.100
237.66;0.937;0.1193E+03;50.016;300;20;0.2226E+03;0.1879E+03;0.536;1.77;00:37:55.200
237.64;0.940;0.1200E+03;50.017;300;20;0.2234E+03;0.1884E+03;0.537;1.78;00:37:55.300
237.69;0.953;0.1214E+03;50.016;300;20;0.2264E+03;0.1911E+03;0.536;1.75;00:37:55.400
237.63;0.914;0.1164E+03;50.016;300;20;0.2172E+03;0.1834E+03;0.536;1.77;00:37:55.500
237.62;0.956;0.1218E+03;50.016;300;20;0.2271E+03;0.1917E+03;0.536;1.74;00:37:55.600
237.66;0.949;0.1210E+03;50.015;300;20;0.2256E+03;0.1904E+03;0.536;1.76;00:37:55.700
237.72;0.964;0.1227E+03;50.014;300;20;0.2292E+03;0.1935E+03;0.536;1.77;00:37:55.800
237.67;0.932;0.1183E+03;50.014;300;20;0.2214E+03;0.1871E+03;0.535;1.75;00:37:55.900
237.66;0.953;0.1211E+03;50.015;300;20;0.2265E+03;0.1915E+03;0.535;1.77;00:37:56.000
237.67;0.959;0.1220E+03;50.015;300;20;0.2280E+03;0.1927E+03;0.535;1.73;00:37:56.100
237.68;0.967;0.1225E+03;50.015;300;20;0.2297E+03;0.1943E+03;0.533;1.78;00:37:56.200
237.69;0.956;0.1213E+03;50.017;300;20;0.2273E+03;0.1923E+03;0.533;1.73;00:37:56.300
237.63;0.941;0.1190E+03;50.017;300;20;0.2236E+03;0.1893E+03;0.532;1.77;00:37:56.400
237.69;0.966;0.1226E+03;50.018;300;20;0.2296E+03;0.1942E+03;0.534;1.73;00:37:56.500
237.70;0.940;0.1193E+03;50.018;300;20;0.2235E+03;0.1890E+03;0.534;1.71;00:37:56.600
237.69;0.961;0.1221E+03;50.017;300;20;0.2283E+03;0.1929E+03;0.535;1.76;00:37:56.700
237.73;0.954;0.1215E+03;50.019;300;20;0.2267E+03;0.1914E+03;0.536;1.74;00:37:56.800
237.72;0.936;0.1189E+03;20;300;20;0.2226E+03;0.1882E+03;0.534;1.79;00:37:56.900
237.74;0.951;0.1212E+03;50.021;300;20;0.2261E+03;0.1909E+03;0.536;1.73;00:37:57.000
237.70;0.937;0.1191E+03;50.022;300;20;0.2226E+03;0.1881E+03;0.535;1.76;00:37:57.100
237.72;0.947;0.1210E+03;50.022;300;20;0.2252E+03;0.1899E+03;0.537;1.75;00:37:57.200
237.71;0.949;0.1206E+03;50.020;300;20;0.2255E+03;0.1905E+03;0.535;1.72;00:37:57.300
237.72;0.938;0.1199E+03;50.019;300;20;0.2231E+03;0.1881E+03;0.537;1.78;00:37:57.400
237.73;0.955;0.1217E+03;50.018;300;20;0.2270E+03;0.1916E+03;0.536;1.73;00:37:57.500
237.71;0.937;0.1195E+03;50.019;300;20;0.2227E+03;0.1879E+03;0.537;1.78;00:37:57.600
237.74;0.936;0.1196E+03;50.019;300;20;0.2226E+03;0.1878E+03;0.537;1.75;00:37:57.700
237.73;0.951;0.1213E+03;50.019;300;20;0.2260E+03;0.1908E+03;0.536;1.76;00:37:57.800
237.76;0.945;0.1205E+03;50.018;300;20;0.2248E+03;0.1897E+03;0.536;1.74;00:37:57.900
237.75;0.946;0.1207E+03;50.017;300;20;0.2249E+03;0.1898E+03;0.537;1.72;00:37:58.000
237.69;0.924;0.1177E+03;50.017;300;20;0.2197E+03;0.1855E+03;0.536;1.78;00:37:58.100
237.72;0.958;0.1223E+03;50.017;300;20;0.2278E+03;0.1921E+03;0.537;1.74;00:37:58.200
237.70;0.923;0.1177E+03;50.019;300;20;0.2195E+03;0.1852E+03;0.536;1.75;00:37:58.300
237.66;0.953;0.1214E+03;50.020;300;20;0.2265E+03;0.1912E+03;0.536;1.74;00:37:58.400
237.75;0.941;0.1201E+03;50.020;300;20;0.2236E+03;0.1887E+03;0.537;1.75;00:37:58.500
237.76;0.813;0.1043E+03;50.020;300;20;0.1934E+03;0.1629E+03;0.539;1.76;00:37:58.600
237.75;0.757;0.0971E+03;50.021;300;20;0.1801E+03;0.1517E+03;0.539;1.72;00:37:58.700
237.75;0.837;0.1071E+03;50.020;20;20;0.1990E+03;0.1677E+03;0.538;1.81;00:37:58.800
237.78;0.950;0.1215E+03;50.021;300;20;0.2258E+03;0.1904E+03;0.538;1.74;00:37:58.900
237.74;0.947;0.1208E+03;50.022;300;20;0.2250E+03;0.1899E+03;0.537;1.78;00:37:59.000
237.75;0.955;0.1222E+03;50.021;300;20;0.2271E+03;0.1914E+03;0.538;1.78;00:37:59.100
237.76;0.946;0.1208E+03;50.020;300;20;0.2249E+03;0.1897E+03;0.537;1.76;00:37:59.200
237.72;0.961;0.1228E+03;50.019;300;20;0.2285E+03;0.1927E+03;0.537;1.78;00:37:59.300
237.72;0.951;0.1213E+03;50.019;300;20;0.2262E+03;0.1909E+03;0.536;1.75;00:37:59.400
237.72;0.960;0.1225E+03;50.020;300;20;0.2282E+03;0.1926E+03;0.537;1.82;00:37:59.500
237.73;0.949;0.1213E+03;50.019;300;20;0.2256E+03;0.1903E+03;0.538;1.77;00:37:59.600
237.73;0.958;0.1223E+03;50.019;300;20;0.2278E+03;0.1922E+03;0.537;1.81;00:37:59.700
237.72;0.968;0.1240E+03;50.019;300;20;0.2301E+03;0.1939E+03;0.539;1.77;00:37:59.800
237.76;0.954;0.1220E+03;50.018;300;20;0.2268E+03;0.1912E+03;0.538;1.74;00:37:59.900
237.74;0.949;0.1215E+03;50.018;300;20;0.2256E+03;0.1901E+03;0.539;1.80;00:38:00.000
237.75;0.948;0.1213E+03;50.018;300;20;0.2254E+03;0.1899E+03;0.538;1.75;00:38:00.100
237.76;0.940;0.1201E+03;50.019;300;20;0.2234E+03;0.1884E+03;0.537;1.80;00:38:00.200
237.79;0.959;0.1227E+03;50.018;300;20;0.2280E+03;0.1922E+03;0.538;1.76;00:38:00.300
237.73;0.946;0.1207E+03;50.018;300;20;0.2248E+03;0.1897E+03;0.537;1.77;00:38:00.400
237.76;0.942;0.1206E+03;50.017;300;20;0.2241E+03;0.1889E+03;0.538;1.77;00:38:00.500
237.76;0.941;0.1207E+03;50.017;300;20;0.2238E+03;0.1884E+03;0.539;1.77;00:38:00.600
237.71;0.942;0.1206E+03;50.017;300;20;0.2240E+03;0.1887E+03;0.539;1.83;00:38:00.700
237.74;0.972;0.1245E+03;50.017;300;20;0.2311E+03;0.1947E+03;0.539;1.78;00:38:00.800
237.75;0.941;0.1205E+03;50.018;300;20;0.2236E+03;0.1884E+03;0.539;1.80;00:38:00.900
237.78;0.969;0.1242E+03;50.017;300;20;0.2303E+03;0.1940E+03;0.539;1.81;00:38:01.000
237.79;0.935;0.1199E+03;50.018;300;20;0.2223E+03;0.1873E+03;0.539;1.77;00:38:01.100
237.81;0.963;0.1234E+03;50.017;300;20;0.2289E+03;0.1928E+03;0.539;1.79;00:38:01.200
237.83;0.952;0.1221E+03;50.019;300;20;0.2263E+03;0.1906E+03;0.539;1.76;00:38:01.300
237.82;0.968;0.1237E+03;50.020;300;20;0.2301E+03;0.1940E+03;0.538;1.81;00:38:01.400
237.87;0.954;0.1221E+03;50.020;300;20;0.2269E+03;0.1913E+03;0.538;1.76;00:38:01.500
237.84;0.929;0.1188E+03;50.021;300;20;0.2210E+03;0.1864E+03;0.537;1.79;00:38:01.600
237.82;0.956;0.1224E+03;50.021;300;20;0.2275E+03;0.1917E+03;0.538;1.78;00:38:01.700
237.84;0.951;0.1217E+03;50.022;300;20;0.2263E+03;0.1908E+03;0.538;1.76;00:38:01.800
237.83;0.960;0.1227E+03;50.022;300;20;0.2284E+03;0.1926E+03;0.537;1.78;00:38:01.900
237.82;0.941;0.1204E+03;50.023;300;20;0.2238E+03;0.1886E+03;0.538;1.76;00:38:02.000
237.79;0.946;0.1209E+03;50.023;300;20;0.2250E+03;0.1897E+03;0.537;1.83;00:38:02.100
237.79;0.943;0.1209E+03;50.025;300;20;0.2243E+03;0.1889E+03;0.539;1.77;00:38:02.200
237.71;0.939;0.1202E+03;50.024;300;20;0.2232E+03;0.1881E+03;0.538;1.78;00:38:02.300
237.67;0.948;0.1215E+03;50.025;300;20;0.2254E+03;0.1899E+03;0.539;1.79;00:38:02.400
237.73;0.956;0.1225E+03;50.025;300;20;0.2273E+03;0.1914E+03;0.539;1.73;00:38:02.500
237.75;0.945;0.1211E+03;50.025;300;20;0.2247E+03;20E+03;0.539;1.80;00:38:02.600
237.74;0.953;0.1220E+03;50.025;300;20;0.2265E+03;0.1909E+03;0.539;1.76;00:38:02.700
237.72;0.947;0.1214E+03;50.026;300;20;0.2251E+03;0.1896E+03;0.539;1.83;00:38:02.800
