Time,P[W],Source File
8.900000,96.100000,J4It2
9.000000,96.200000,J4It1
9.100000,96.300000,J4It2
9.200000,104.000000,J4It2
9.300000,152.300000,J4It2
9.400000,150.100000,J4It1
9.500000,141.400000,J4It1
9.600000,137.600000,J4It1
9.700000,99.200000,J4It1
9.800000,96.800000,J4It1
9.900000,95.200000,J4It2
10.000000,96.800000,J4It1
10.100000,96.000000,J4It2
10.200000,96.500000,J4It1
10.300000,95.500000,J4It2
10.400000,95.700000,J4It1
10.500000,96.600000,J4It1
10.600000,95.800000,J4It1
10.700000,96.300000,J4It1
10.800000,119.300000,J4It2
10.900000,156.400000,J4It2
11.000000,141.600000,J4It2
11.100000,142.000000,J4It2
11.200000,123.600000,J4It1
11.300000,95.200000,J4It1
11.400000,95.800000,J4It2
11.500000,96.300000,J4It2
11.600000,95.300000,J4It1
11.700000,96.100000,J4It1
11.800000,96.200000,J4It2
11.900000,96.500000,J4It2
12.000000,96.900000,J4It1
12.100000,96.600000,J4It2
12.200000,96.100000,J4It1
12.300000,95.600000,J4It2
12.400000,114.100000,J4It2
12.500000,144.500000,J4It2
12.600000,135.200000,J4It2
12.700000,133.500000,J4It1
12.800000,133.900000,J4It2
12.900000,119.000000,J4It1
13.000000,96.300000,J4It1
13.100000,96.800000,J4It2
13.200000,95.800000,J4It2
13.300000,96.500000,J4It1
13.400000,96.500000,J4It1
13.500000,96.000000,J4It1
13.600000,95.800000,J4It2
13.700000,96.000000,J4It2
13.800000,96.200000,J4It1
13.900000,96.100000,J4It2
14.000000,99.000000,J4It2
14.100000,141.800000,J4It2
14.200000,138.100000,J4It2
14.300000,134.400000,J4It1
14.400000,133.500000,J4It1
14.500000,129.500000,J4It1
14.600000,97.700000,J4It2
14.700000,95.700000,J4It2
14.800000,96.200000,J4It2
14.900000,95.400000,J4It2
15.000000,97.200000,J4It2
15.100000,96.300000,J4It2
15.200000,96.100000,J4It1
15.300000,94.800000,J4It2
15.400000,96.500000,J4It1
15.500000,95.200000,J4It2
15.600000,96.000000,J4It1
15.700000,105.600000,J4It2
15.800000,135.200000,J4It2
15.900000,126.300000,J4It1
16.000000,127.500000,J4It1
16.100000,128.100000,J4It1
16.200000,126.500000,J4It2
16.300000,99.300000,J4It1
16.400000,95.800000,J4It2
16.500000,95.900000,J4It1
16.600000,96.500000,J4It2
16.700000,97.000000,J4It1
16.800000,95.200000,J4It2
16.900000,96.000000,J4It1
17.000000,95.800000,J4It1
17.100000,97.400000,J4It2
17.200000,95.700000,J4It1
